dex,contour,solidity,symmetry,aspect,occupancy,eff_colors,edge_density,area
187,2.2909936975565235,0.5677398208172482,0.5190995907230559,1.2275132275132274,0.2378692626953125,19,0.24786708576560396,15589
188,1.1266785193059636,0.902114664740264,0.7627847289059994,1.288888888888889,0.4192047119140625,20,0.15942925781676556,27473
189,1.504499897645907,0.7808385542168674,0.7554823610990725,0.6379310344827587,0.3090362548828125,19,0.15335999604996792,20253
190,2.5627654829812556,0.6075019790806959,0.39939473888414684,1.1717171717171717,0.275177001953125,21,0.29882444271930797,18034
191,1.6680099203343357,0.810423323813025,0.8883178493773473,0.8189655172413793,0.4373016357421875,20,0.21682543005687568,28659
192,2.3575635129205765,0.617013786208159,0.6726217743166896,0.9137931034482759,0.33428955078125,22,0.24671352930436372,21908
193,3.0234328625758002,0.5601175248853879,0.32800864760989673,1.8125,0.1687164306640625,19,0.37496608483313737,11057
194,2.4695760182609243,0.6507931929622152,0.481483913328956,1.1317073170731706,0.3442840576171875,21,0.2001506891814032,22563
195,1.3210372878389098,0.7883885122781357,0.616658014650747,0.8491379310344828,0.42767333984375,20,0.15195518766947338,28028
196,2.48565125055686,0.49151815087107015,0.34951303801445177,1.0403587443946187,0.262176513671875,21,0.24385985333488536,17182
197,2.4213958525377466,0.5662991633434983,0.4306257901390645,0.8318965517241379,0.276275634765625,21,0.20562244559814427,18106
198,2.4502887260367756,0.5856897267176477,0.3080895008605852,0.9051724137931034,0.301513671875,21,0.18972672064777327,19760
199,1.7122889590831298,0.7272996373862207,0.5906773488710853,0.5991379310344828,0.2999267578125,20,0.24913512413512415,19656
200,1.3040479297069498,0.8558994197292069,0.7619909502262443,1.0892018779342723,0.4456329345703125,22,0.16733436055469955,29205
201,1.874629928312935,0.633576595812486,0.34631272431773547,0.8879310344827587,0.3033599853515625,20,0.14234696443840852,19881
202,1.806585514288655,0.7706940063091483,0.569359242010599,0.6508620689655172,0.3727874755859375,20,0.15656338258769595,24431
203,2.7939312590909164,0.5498221701206064,0.27720852949321517,0.6293103448275862,0.21112060546875,22,0.2682856316854582,13836
204,1.5018414336540176,0.8666242488511842,0.8879990142927551,0.8620689655172413,0.467620849609375,21,0.2065196110422241,30646
205,1.139978907333721,0.924668370451503,0.9091822815708235,1.2608695652173914,0.4057769775390625,22,0.27142481104049937,26593
206,1.4278132277011024,0.7706991894553443,0.37051256146022765,0.8793103448275862,0.31048583984375,19,0.25727344210733244,20348
207,2.0502340778734514,0.6633497329053897,0.5463677315797649,1.0,0.4557037353515625,18,0.21637368156705172,29865
208,1.9212652616770804,0.579342471789868,0.34507453960830164,1.1485148514851484,0.280853271484375,21,0.2864826686949908,18406
209,1.4979527780808541,0.7778684408737133,0.583871173876925,0.8189655172413793,0.378204345703125,22,0.21346727991608166,24786
210,1.9190566298025313,0.6450217768708312,0.5598438535759004,0.7758620689655172,0.323150634765625,22,0.22674473510246482,21178
211,1.508610183295476,0.7298895678008857,0.4039031753733355,0.9870689655172413,0.3973541259765625,21,0.17568449752313658,26041
212,2.8386298106541563,0.5009251281761558,0.3064908273778826,0.8103448275862069,0.2705841064453125,22,0.2963965488073084,17733
213,1.767127952813345,0.6140973894364855,0.5487112276103102,1.1153846153846154,0.2704620361328125,20,0.24078984485190408,17725
214,2.6456446359795316,0.5666656414357334,0.5003257328990228,0.9913793103448276,0.2811279296875,21,0.3022687798523665,18424
215,2.9534292235147714,0.4515124273541068,0.28857411288574114,1.0,0.272064208984375,22,0.2850252383623107,17830
216,1.5056392199381627,0.7725188734530662,0.6051283887834402,0.6681034482758621,0.341949462890625,21,0.20205265506470327,22410
217,1.606919776142266,0.8056470588235294,0.7599756320438623,0.6896551724137931,0.3526611328125,21,0.2117514710972655,23112
218,1.7274175797288405,0.6865062311989686,0.49762699947266653,0.8491379310344828,0.3900146484375,21,0.17089201877934274,25560
219,1.3409423591885032,0.8008925601507928,0.8080725907384231,0.8491379310344828,0.4408721923828125,22,0.21517322534870037,28893
220,1.0797208590254264,0.9758015372215997,0.7870257037943696,1.5675675675675675,0.37872314453125,23,0.13682514101531024,24820
221,1.2579027922431083,0.9250112014772373,0.8420938784339174,0.9094827586206896,0.519775390625,22,0.10659347111319868,34064
222,1.706637598929757,0.6481818181818182,0.4524074074074074,1.0593607305936072,0.3590240478515625,16,0.16171533001827532,23529
223,1.7101440815254232,0.654396015811378,0.43830373545621554,0.8189655172413793,0.286712646484375,21,0.2565726450239489,18790
224,1.6071300346422777,0.7148054003866117,0.563940322365792,1.1658291457286432,0.3582916259765625,22,0.17627017588688726,23481
225,1.746673088121212,0.6930749161386508,0.5847821640417263,0.7586206896551724,0.35467529296875,22,0.23029599036310447,23244
226,2.178499152618702,0.5707716625952005,0.45957863792258696,1.8267716535433072,0.18182373046875,21,0.27794561933534745,11916
227,2.5759462552087804,0.6190806725281506,0.5603071241131306,1.4146341463414633,0.244964599609375,20,0.3075868942319671,16054
228,1.916319293547803,0.697109047772473,0.3951579811243332,0.8189655172413793,0.3631591796875,20,0.20126050420168068,23800
229,3.238115949201453,0.42996155124127783,0.4267937308025518,0.9568965517241379,0.27642822265625,22,0.286818282181497,18116
230,2.6203617092536002,0.5993215359865706,0.18677285318559556,0.9051724137931034,0.2614898681640625,19,0.2779366283480189,17137
231,1.2214018643373301,0.9008794567913608,0.6714704104876574,1.045045045045045,0.5486297607421875,20,0.13611458767904325,35955
232,1.5120075057252684,0.8512605229663042,0.682050829509354,1.7575757575757576,0.2908477783203125,22,0.25213787314411623,19061
